name,map,Rprec,recip_rank,P_5,P_10,recall_5,recall_10,ndcg_cut_10,time (s)
TF-IDF+KL,0.12604690399789287,0.17470478721824498,0.4391912725684675,0.26562500000000006,0.24062499999999998,0.07464462328506072,0.11597068678651165,0.2705688820940498,32.6
TF-IDF+Bo1,0.12216376873306076,0.168050341988036,0.4170023126016074,0.27499999999999997,0.22812499999999988,0.07461117018440934,0.10555783375632267,0.25673681122461034,28.09
TF-IDF,0.11379686867085403,0.16535700859195995,0.4140841363497613,0.265625,0.21406249999999988,0.0694015635749646,0.1074931210338304,0.24374880405944843,13.95
"BM25(k1=2.0,b=0.25)+KL",0.09095357963707758,0.1339674450725573,0.33087903510277217,0.19062500000000002,0.16562499999999997,0.053042348198867585,0.08661034650262132,0.18570487701012844,32.59
"BM25(k1=1.5,b=0.25)+KL",0.09001133506558677,0.128666368918094,0.308100809235769,0.17187500000000003,0.1671875,0.04799272181422281,0.08724870897538257,0.18112507668522945,31.71
"BM25(k1=1.5,b=0.25)+Bo1",0.0860356705813942,0.12322210752150514,0.30654197730707794,0.16874999999999998,0.15781249999999997,0.04680899291415035,0.08256906871738044,0.17129119934441275,25.89
"BM25(k1=2.0,b=0.25)+Bo1",0.08592339389672658,0.1279514601160372,0.31509399586086734,0.18437499999999998,0.1640625,0.046237325676092685,0.0849316065827294,0.1794974983318006,27.45
TF-IDF+Bo1+BioBERT,0.07705097429672504,0.11834594608804087,0.264030283498994,0.15312499999999996,0.15781249999999997,0.017579601189358474,0.045437985729305935,0.14870987279431705,446.67
TF-IDF+KL+BioBERT,0.07648126160692278,0.12011295848357463,0.26764462968694436,0.14375,0.16093749999999998,0.019732968721416343,0.04649687204145598,0.1511730854864301,150.24
TF-IDF+KL+PubMedBERT,0.07525571422595514,0.11776307135589158,0.27830088526374686,0.13437500000000002,0.13124999999999998,0.01582662605911382,0.03877902923233936,0.13539864815052344,154.44
TF-IDF+Bo1+PubMedBERT,0.0736328292793124,0.11570612832555159,0.2529622136807365,0.1375,0.13749999999999998,0.013757691891818831,0.04006622654401151,0.13498966691319908,444.04
"BM25(k1=1.5,b=0.25)",0.07359333543052564,0.10488208280485052,0.3041982193006211,0.16250000000000003,0.14374999999999996,0.0413387174792039,0.06899718743738627,0.15963470920393855,14.66
"BM25(k1=2.0,b=0.25)",0.07159059307936476,0.10978319976037418,0.3104011946236307,0.16875,0.15156249999999996,0.040228884433378916,0.07007930582882418,0.16547975446381213,13.24
TF-IDF+PubMedBERT,0.06978749232481758,0.11448183759764967,0.26431548090015733,0.14375,0.15312499999999996,0.02164701623836811,0.048927408708633414,0.1442996716626261,970.28
TF-IDF+BioBERT,0.06423909883237373,0.11211389092040065,0.27099091403883036,0.12812500000000004,0.13593749999999996,0.021735683802459955,0.045394033191134726,0.1293166356814768,973.19
"BM25(k1=1.5,b=0.25)+Bo1+BioBERT",0.057122828278478956,0.09031162932744713,0.18171294684561048,0.11250000000000002,0.11249999999999996,0.017470350259950942,0.03552540554030514,0.09772970863370795,779.68
"BM25(k1=1.5,b=0.25)+Bo1+PubMedBERT",0.055436782208926956,0.08762409702863817,0.21150650084833225,0.10937500000000003,0.10312499999999997,0.01482362704755814,0.03686528477192822,0.10329883940074634,783.1
"BM25(k1=2.0,b=0.25)+KL+PubMedBERT",0.055422930668704434,0.09219862476963346,0.20337791858342202,0.09062500000000001,0.10624999999999997,0.016461246190544357,0.03376023523172246,0.09898907175803348,82.07
"BM25(k1=2.0,b=0.25)+Bo1+BioBERT",0.05502991050233274,0.09043318852052767,0.1856219548095057,0.10312500000000002,0.11249999999999995,0.013997940752206763,0.03396546390119058,0.0987761758388441,140.37
"BM25(k1=2.0,b=0.25)+KL+BioBERT",0.05495818929955825,0.0883001862786511,0.19316263999036834,0.10312500000000001,0.11249999999999995,0.014762295866962911,0.03385263671069718,0.09933264298434485,81.73
"BM25(k1=1.5,b=0.25)+PubMedBERT",0.054421604816806024,0.08573039259526584,0.21750717301683994,0.13437500000000002,0.12656249999999997,0.02199780380709903,0.040731440492293665,0.11421169632055388,2368.49
"BM25(k1=2.0,b=0.25)+PubMedBERT",0.053330075084444734,0.08594639416141478,0.20661106047797578,0.13125,0.12968749999999996,0.02098420474224623,0.04035207410758189,0.11540156208036269,112.99
"BM25(k1=1.5,b=0.25)+KL+BioBERT",0.05318000558893194,0.08485604952849675,0.20602265425763605,0.10312500000000002,0.11093749999999995,0.015517270809327759,0.03369347894056316,0.09964279496046494,255.58
"BM25(k1=2.0,b=0.25)+Bo1+PubMedBERT",0.05315356916337228,0.08924763529508789,0.1905728594401346,0.10625000000000004,0.10312499999999997,0.014463132085071252,0.03381400113684402,0.09745550307083789,138.14
"BM25(k1=1.5,b=0.25)+BioBERT",0.05304403972468618,0.08846733423063005,0.2609904291273659,0.13125000000000003,0.12031249999999999,0.02522853921412784,0.04300218649486404,0.12071874959079591,2389.48
"BM25(k1=1.5,b=0.25)+KL+PubMedBERT",0.0524090323891257,0.08927411325119199,0.18861308951192896,0.09375000000000001,0.09374999999999996,0.01628826264996213,0.029588211308715195,0.09008652014991765,245.23
"BM25(k1=2.0,b=0.25)+BioBERT",0.05181419677139748,0.08914178256023937,0.2635151864330761,0.12812500000000004,0.12031249999999999,0.024974162612217923,0.04327791061005617,0.12156919123692192,118.88
TF-IDF+MeSH+KL,0.05018652487379381,0.07120859194186885,0.14410241606025267,0.09687500000000003,0.09374999999999999,0.012732744499372247,0.028596035934115603,0.0881103545928742,1013.55
TF-IDF+MeSH+Bo1+BioBERT,0.04875163836637766,0.07744887581319015,0.16163835914343871,0.103125,0.10312500000000001,0.016796683867270998,0.0382597760375142,0.09152473401496797,1367.87
