name,map,Rprec,recip_rank,P_5,P_10,recall_5,recall_10,ndcg_cut_10,time (s)
"BM25(k1=1.5,b=0.75)",0.07318953436913538,0.10271313913621345,0.30027877019590155,0.15000000000000005,0.14218749999999997,0.04016342760153143,0.06746310077643125,0.1588192790497168,13.2
"BM25(k1=1.5,b=0.75)+Bo1",0.08847241999203134,0.12005989932102064,0.3348709384691933,0.17812499999999998,0.16562499999999997,0.047149150907172116,0.0824455205752904,0.18669157898107572,26.29
"BM25(k1=1.5,b=0.75)+KL",0.08983827100247312,0.1309438484558636,0.3318595428398545,0.17812499999999998,0.165625,0.052425083456993274,0.085115180763984,0.18739809943980412,31.01
"BM25(k1=1.5,b=0.25)",0.07359333543052564,0.10488208280485052,0.3041982193006211,0.16250000000000003,0.14374999999999996,0.0413387174792039,0.06899718743738627,0.15963470920393855,12.49
"BM25(k1=1.5,b=0.25)+Bo1",0.0860356705813942,0.12322210752150514,0.30654197730707794,0.16874999999999998,0.15781249999999997,0.04680899291415035,0.08256906871738044,0.17129119934441275,26.14
"BM25(k1=1.5,b=0.25)+KL",0.09001133506558677,0.128666368918094,0.308100809235769,0.17187500000000003,0.1671875,0.04799272181422281,0.08724870897538257,0.18112507668522945,31.29
"BM25(k1=2.0,b=0.25)",0.07159059307936476,0.10978319976037418,0.3104011946236307,0.16875,0.15156249999999996,0.040228884433378916,0.07007930582882418,0.16547975446381213,12.3
"BM25(k1=2.0,b=0.25)+Bo1",0.08592339389672658,0.1279514601160372,0.31509399586086734,0.18437499999999998,0.1640625,0.046237325676092685,0.0849316065827294,0.1794974983318006,25.84
"BM25(k1=2.0,b=0.25)+KL",0.09095357963707758,0.1339674450725573,0.33087903510277217,0.19062500000000002,0.16562499999999997,0.053042348198867585,0.08661034650262132,0.18570487701012844,31.32
"BM25(k1=1.5,b=0.0)",0.07237141849529223,0.10938537526231926,0.29515227009738015,0.14687500000000003,0.13749999999999998,0.04038961968776492,0.06493711208184473,0.15180506603119814,12.7
"BM25(k1=1.5,b=0.0)+Bo1",0.08344189493269355,0.12387076261636318,0.30102762798117655,0.15937499999999996,0.15,0.043302500172823055,0.07815469087550686,0.16720153677819868,26.15
"BM25(k1=1.5,b=0.0)+KL",0.09022869703054281,0.13031295274754987,0.3101397581813027,0.16875000000000004,0.16249999999999998,0.04937180008487534,0.08498287121180571,0.18055701209605288,31.34
TF-IDF,0.11379686867085403,0.16535700859195995,0.4140841363497613,0.265625,0.21406249999999988,0.0694015635749646,0.1074931210338304,0.24374880405944843,12.45
TF-IDF+Bo1,0.12216376873306076,0.168050341988036,0.4170023126016074,0.27499999999999997,0.22812499999999988,0.07461117018440934,0.10555783375632267,0.25673681122461034,25.84
TF-IDF+KL,0.12604690399789287,0.17470478721824498,0.4391912725684675,0.26562500000000006,0.24062499999999998,0.07464462328506072,0.11597068678651165,0.2705688820940498,31.06
